,category,count
0,135967,92681
1,135971,19235
2,135973,14649
3,135977,7926
4,135979,18778
5,135981,10514
6,135983,24204
7,135985,5859
8,135999,2039
9,136001,1231
10,136003,2865
11,136005,14
12,136011,468
13,136015,18
14,136021,67
15,136031,27
16,136033,5541
17,136035,5016
18,136043,4020
19,136045,1843
20,136053,1551
21,136055,3057
22,136057,1796
23,136059,1045
24,136061,294
25,136063,157
26,136069,254
27,136071,2152
28,136079,2
29,136089,532
30,136091,7331
31,136093,234
32,136099,4209
33,136101,6720
34,136103,1105
35,136105,683
36,136107,1032
37,136137,2872
38,136147,49
39,136149,1626
40,136157,1208
41,136175,1471
42,136177,133
43,136179,658
44,136181,218
45,136183,348
46,136185,116
47,136187,80
48,136189,11214
49,136191,3203
50,136193,4712
51,136195,1
52,136212,10403
53,136214,2656
54,136215,777
55,136216,593
56,136217,949
57,136218,1209
58,136219,1146
59,136220,283
60,136221,689
61,136222,233
62,136223,1284
63,136224,519
64,136225,97
65,136226,7504
66,136227,3793
67,136228,235
68,136229,2453
69,136230,146
70,136231,530
71,136232,450
72,136233,104
73,136234,391
74,136235,703
75,136236,781
76,136237,316
77,136238,82
78,136239,389
79,136240,250
80,136241,68
81,136242,17
82,136243,466
83,136244,967
84,136245,9505
85,136246,172
86,136247,1716
87,136248,182
88,136249,34
89,136250,81
90,136251,5087
91,136252,2276
92,136253,1064
93,136254,870
94,136255,193
95,136257,758
96,136258,60
97,136260,24
98,136261,149
99,136262,95
100,136263,2350
101,136264,1234
102,136265,1271
103,136266,10
104,136267,551
105,136268,749
106,136269,1142
107,136270,735
108,136271,445
109,136272,991
110,136273,843
111,136274,1582
112,136275,262
113,136276,536
114,136277,792
115,136278,665
116,136279,594
117,136280,10
118,136281,12
119,136282,5
120,136283,35
121,136284,5
122,136285,192
123,136286,493
124,136287,553
125,136288,76
126,136289,294
127,136290,423
128,136291,76
129,136292,55
130,136293,3765
131,136294,2238
132,136295,132
133,136296,34
134,136298,111
135,136300,1258
136,136301,24390
137,136302,3231
138,136303,114
139,136304,516
140,136305,751
141,136306,773
142,136307,3806
143,136308,6595
144,136309,291
145,136310,5880
146,136311,726
147,136312,62
148,136314,24
149,136315,3601
150,136317,28
151,136320,3
152,136321,722
153,136322,3197
154,136323,1091
155,136324,241
156,136325,303
157,136326,3856
158,136383,1192
159,136384,1
160,136386,112
161,136387,49
162,136389,330
163,136390,23
164,136391,1
165,136392,59
166,136393,7
167,136466,199
168,136467,1569
169,136480,31
170,136481,1301
171,136482,412
172,136484,849
173,136485,169
174,136488,622
175,136490,131
176,136491,810
177,136493,6
178,136495,150
179,136497,343
180,136501,8
181,136515,6
182,136516,4
183,136520,1
184,136523,1
185,136525,2
186,136559,1
187,136603,1
188,136640,1
189,136641,784
190,136642,4
191,136643,1716
192,136644,1136
193,136645,1260
194,136986,26
195,137117,1313
196,137118,74
197,137119,92
198,137120,309
199,137121,467
200,137122,57
201,137123,15
202,137124,1
203,137125,54
204,137126,29
205,137127,51
206,137128,240
207,137129,5
208,137130,60
209,137131,57
210,137132,201
211,137133,73
212,137134,98
213,137135,59
214,137136,34
215,137137,5
216,137163,1
217,137166,113
218,137168,286
219,137170,911
220,137175,4964
221,137176,71
222,137188,720
223,137189,664
224,137191,114
225,137192,103
226,137193,11
227,137194,48
228,137199,24
229,137203,16
230,137303,930
231,137304,1
232,137305,151
233,137307,389
234,137308,218
235,137309,171
236,137310,256
237,137311,237
238,137312,19
239,137313,485
240,137314,41
241,137315,367
242,137316,77
243,137317,88
244,137318,29
245,137319,33
246,137320,12
247,137321,1
248,137322,25
249,137323,63
250,137324,43
251,137325,20
252,137327,59
253,137328,18
254,137329,6
255,137330,21
256,137331,4
257,137332,10
258,137333,45
259,137334,26
260,137335,19
261,137336,12
262,137337,12
263,137400,9
264,137405,8
265,137410,13
266,137428,76
